Agent trajectory file
X [nm]      Y[nm]       Z[nm]
0  0  4.5  
2.90396e-05  4.33638e-05  4.48443  
8.81989e-05  0.000130038  4.4531  
0.000179813  0.000259843  4.40559  
0.000307879  0.000432318  4.34124  
0.000478822  0.00064641  4.2591  
0.000702882  0.000899901  4.17695  
0.000993123  0.0011893  4.09481  
0.00136618  0.00150952  4.01267  
0.00184318  0.00185338  3.93053  
0.00245095  0.00221112  3.84839  
0.00322345  0.00256968  3.76624  
0.00420366  0.00291187  3.6841  
0.00544588  0.00321526  3.60196  
0.00701856  0.00345088  3.51982  
0.00900779  0.00358151  3.43767  
0.0115213  0.0035596  3.35553  
0.0146927  0.00332462  3.27339  
0.0186848  0.00279994  3.19125  
0.0236893  0.0018893  3.1091  
0.0299136  0.000473949  3.02696  
0.0375369  -0.00158593  2.94482  
0.0465831  -0.00443456  2.86268  
0.0565922  -0.00815689  2.78054  
0.0658123  -0.0125809  2.69839  
0.0693754  -0.0167298  2.61625  
0.0559951  -0.0175164  2.53411  
0.0426148  -0.00789207  2.45197  
0.0292345  0.0134553  2.36982  
0.0158543  0.0348027  2.28768  
0.00247398  0.0561501  2.20554  
-0.0109063  0.0774975  2.22286  
-0.0242866  0.0988449  2.30265  
-0.0376669  0.120192  2.31294  
-0.0510472  0.14154  2.23822  
-0.0644274  0.162887  2.17343  
-0.0778077  0.184234  2.17264  
-0.091188  0.205582  2.22175  
-0.104568  0.226929  2.26669  
-0.117949  0.248277  2.2601  
-0.131329  0.269624  2.20012  
-0.144709  0.290971  2.11985  
-0.158089  0.312319  2.05635  
-0.17147  0.319893  2.03208  
-0.18485  0.332925  2.05664  
-0.19823  0.35568  2.11182  
-0.211611  0.378436  2.15516  
-0.239795  0.401192  2.14963  
-0.267995  0.423947  2.088  
-0.277475  0.446703  1.99982  
-0.286955  0.469458  1.91163  
-0.296435  0.492214  1.82377  
-0.305916  0.514969  1.79794  
-0.315396  0.537725  1.85663  
-0.324876  0.560481  1.91532  
-0.334356  0.583236  1.98186  
-0.343837  0.605992  1.97799  
-0.353317  0.628747  1.90653  
-0.362797  0.651503  1.87206  
-0.372277  0.674258  1.93015  
-0.381758  0.697014  2.00195  
-0.391238  0.71977  2.0743  
-0.400718  0.742525  1.99466  
-0.410198  0.765281  1.91503  
-0.419678  0.788036  1.90185  
-0.429159  0.810792  1.98827  
-0.438639  0.833547  1.96924  
-0.448119  0.856303  1.89298  
-0.457599  0.879059  1.94694  
-0.46708  0.901814  2.00184  
-0.47656  0.92457  2.05059  
-0.48604  0.947325  2.09934  
-0.49552  0.970081  2.14809  
-0.505001  0.992836  2.19684  
-0.483195  1.01559  2.24559  
-0.46139  1.03306  2.29434  
-0.439585  1.02804  2.34309  
-0.41778  1.01049  2.39184  
-0.395975  0.997588  2.44059  
-0.37417  0.997638  2.48934  
-0.352365  1.00899  2.53809  
-0.33056  1.02599  2.58684  
