Agent energy file
Z [A]       Energy [kcal/mol]
45  3.81806  
44.8493  3.90152  
44.546  4.05623  
44.0862  4.29055  
43.4638  4.61812  
42.6696  4.82326  
41.8755  5.04364  
41.0813  5.28089  
40.2872  5.53694  
39.4931  5.81399  
38.6989  6.11461  
37.9048  6.44182  
37.1107  6.79915  
36.3165  7.19083  
35.5224  7.62194  
34.7282  8.09863  
33.9341  8.62848  
33.14  9.22096  
32.3458  9.88808  
31.5517  10.6454  
30.7576  11.5135  
29.9634  12.5198  
29.1693  13.7021  
28.3751  15.1128  
27.581  16.8326  
26.7869  19.0184  
25.9927  22.0178  
25.1986  26.3482  
24.4044  33.1856  
23.6103  45.0693  
22.8162  68.6491  
22.022  28.7952  
21.2675  27.7096  
20.9523  27.0597  
21.1517  27.0262  
21.7036  26.831  
22.2677  26.1436  
22.4905  25.6898  
22.2179  25.8561  
21.5452  26.068  
20.7332  25.7929  
20.0725  25.295  
19.7972  25.634  
19.2222  26.0381  
18.5522  26.0922  
18.0085  25.958  
17.7557  26.0151  
17.8796  26.4933  
18.3835  27.2533  
19.1559  27.709  
19.9204  27.5125  
20.3074  28.0761  
20.9083  28.2539  
21.3268  28.1872  
21.2652  28.6818  
20.7133  29.3057  
19.991  23.3411  
19.2687  30.5415  
18.4773  30.5358  
18.2034  31.1253  
18.709  32.4651  
19.2146  33.8737  
19.8497  34.5796  
19.8163  36.3091  
19.139  37.5414  
18.9907  39.3422  
19.7726  40.8217  
19.9638  42.57  
20.1551  44.5859  
19.9419  47.1851  
19.7288  50.303  
19.1887  52.5302  
18.6486  52.811  
18.1085  51.2264  
17.5684  48.2952  
17.0283  44.6957  
16.4883  41.0044  
15.9482  37.5857  
15.4081  34.608  
14.868  32.1093  
14.3279  30.0978  
13.7878  28.5507  
13.2478  27.2305  
12.7077  26.4632  
13.5692  28.8615  
14.4308  32.7766  
15.2924  39.5451  
16.1539  52.217  
17.0155  77.6342  
17.877  23.7793  
18.7386  24.7113  
19.6002  25.8775  
20.4617  27.8281  
21.3233  30.4708  
22.1848  33.0093  
23.0464  34.3001  
23.3722  36.2016  
22.5315  38.2843  
22.2577  40.2475  
21.9838  42.0693  
21.71  43.6583  
21.4362  44.9233  
21.1623  45.7859  
20.8885  46.1921  
20.6146  46.1218  
20.3408  45.5916  
20.067  44.6522  
19.7931  43.7746  
19.5193  42.7582  
19.2454  41.5551  
18.9716  40.243  
18.6978  38.8884  
18.4239  37.5435  
18.1501  36.246  
17.8763  35.0202  
17.6024  33.8798  
17.3286  32.8301  
17.0547  31.8708  
16.7809  30.9976  
16.5071  30.2042  
16.2332  29.4832  
15.9594  28.8271  
15.6855  28.2287  
15.4117  27.6814  
15.1379  27.1794  
14.864  26.7177  
14.5902  26.2921  
14.3164  25.8991  
14.0425  25.5359  
13.7687  25.6375  
14.5917  27.2947  
15.4148  29.5126  
16.2379  32.5041  
17.061  36.6773  
17.884  42.7606  
18.7071  51.8669  
19.5302  65.6437  
20.3532  86.6789  
21.1763  42.8675  
21.9994  54.1897  
22.8224  80.1984  
23.6455  28.0649  
23.6831  29.3225  
22.9883  31.2053  
22.2935  33.4389  
21.5987  36.0378  
20.9039  38.9248  
20.2092  41.7689  
19.599  45.1539  
