Membrane size
X [nm]        Y[nm]       Z[nm]
-5  -5  -2  
-5  -5  2  
-5  -4.09091  -2  
-5  -4.09091  2  
-5  -3.18182  -2  
-5  -3.18182  2  
-5  -2.27273  -2  
-5  -2.27273  2  
-5  -1.36364  -2  
-5  -1.36364  2  
-5  -0.454545  -2  
-5  -0.454545  2  
-5  0.454545  -2  
-5  0.454545  2  
-5  1.36364  -2  
-5  1.36364  2  
-5  2.27273  -2  
-5  2.27273  2  
-5  3.18182  -2  
-5  3.18182  2  
-5  4.09091  -2  
-5  4.09091  2  
-5  5  -2  
-5  5  2  
-4.09091  -5  -2  
-4.09091  -5  2  
-4.09091  -4.09091  -2  
-4.09091  -4.09091  2  
-4.09091  -3.18182  -2  
-4.09091  -3.18182  2  
-4.09091  -2.27273  -2  
-4.09091  -2.27273  2  
-4.09091  -1.36364  -2  
-4.09091  -1.36364  2  
-4.09091  -0.454545  -2  
-4.09091  -0.454545  2  
-4.09091  0.454545  -2  
-4.09091  0.454545  2  
-4.09091  1.36364  -2  
-4.09091  1.36364  2  
-4.09091  2.27273  -2  
-4.09091  2.27273  2  
-4.09091  3.18182  -2  
-4.09091  3.18182  2  
-4.09091  4.09091  -2  
-4.09091  4.09091  2  
-4.09091  5  -2  
-4.09091  5  2  
-3.18182  -5  -2  
-3.18182  -5  2  
-3.18182  -4.09091  -2  
-3.18182  -4.09091  2  
-3.18182  -3.18182  -2  
-3.18182  -3.18182  2  
-3.18182  -2.27273  -2  
-3.18182  -2.27273  2  
-3.18182  -1.36364  -2  
-3.18182  -1.36364  2  
-3.18182  -0.454545  -2  
-3.18182  -0.454545  2  
-3.18182  0.454545  -2  
-3.18182  0.454545  2  
-3.18182  1.36364  -2  
-3.18182  1.36364  2  
-3.18182  2.27273  -2  
-3.18182  2.27273  2  
-3.18182  3.18182  -2  
-3.18182  3.18182  2  
-3.18182  4.09091  -2  
-3.18182  4.09091  2  
-3.18182  5  -2  
-3.18182  5  2  
-2.27273  -5  -2  
-2.27273  -5  2  
-2.27273  -4.09091  -2  
-2.27273  -4.09091  2  
-2.27273  -3.18182  -2  
-2.27273  -3.18182  2  
-2.27273  -2.27273  -2  
-2.27273  -2.27273  2  
-2.27273  -1.36364  -2  
-2.27273  -1.36364  2  
-2.27273  -0.454545  -2  
-2.27273  -0.454545  2  
-2.27273  0.454545  -2  
-2.27273  0.454545  2  
-2.27273  1.36364  -2  
-2.27273  1.36364  2  
-2.27273  2.27273  -2  
-2.27273  2.27273  2  
-2.27273  3.18182  -2  
-2.27273  3.18182  2  
-2.27273  4.09091  -2  
-2.27273  4.09091  2  
-2.27273  5  -2  
-2.27273  5  2  
-1.36364  -5  -2  
-1.36364  -5  2  
-1.36364  -4.09091  -2  
-1.36364  -4.09091  2  
-1.36364  -3.18182  -2  
-1.36364  -3.18182  2  
-1.36364  -2.27273  -2  
-1.36364  -2.27273  2  
-1.36364  -1.36364  -2  
-1.36364  -1.36364  2  
-1.36364  -0.454545  -2  
-1.36364  -0.454545  2  
-1.36364  0.454545  -2  
-1.36364  0.454545  2  
-1.36364  1.36364  -2  
-1.36364  1.36364  2  
-1.36364  2.27273  -2  
-1.36364  2.27273  2  
-1.36364  3.18182  -2  
-1.36364  3.18182  2  
-1.36364  4.09091  -2  
-1.36364  4.09091  2  
-1.36364  5  -2  
-1.36364  5  2  
-0.454545  -5  -2  
-0.454545  -5  2  
-0.454545  -4.09091  -2  
-0.454545  -4.09091  2  
-0.454545  -3.18182  -2  
-0.454545  -3.18182  2  
-0.454545  -2.27273  -2  
-0.454545  -2.27273  2  
-0.454545  -1.36364  -2  
-0.454545  -1.36364  2  
-0.454545  -0.454545  -2  
-0.454545  -0.454545  2  
-0.454545  0.454545  -2  
-0.454545  0.454545  2  
-0.454545  1.36364  -2  
-0.454545  1.36364  2  
-0.454545  2.27273  -2  
-0.454545  2.27273  2  
-0.454545  3.18182  -2  
-0.454545  3.18182  2  
-0.454545  4.09091  -2  
-0.454545  4.09091  2  
-0.454545  5  -2  
-0.454545  5  2  
0.454545  -5  -2  
0.454545  -5  2  
0.454545  -4.09091  -2  
0.454545  -4.09091  2  
0.454545  -3.18182  -2  
0.454545  -3.18182  2  
0.454545  -2.27273  -2  
0.454545  -2.27273  2  
0.454545  -1.36364  -2  
0.454545  -1.36364  2  
0.454545  -0.454545  -2  
0.454545  -0.454545  2  
0.454545  0.454545  -2  
0.454545  0.454545  2  
0.454545  1.36364  -2  
0.454545  1.36364  2  
0.454545  2.27273  -2  
0.454545  2.27273  2  
0.454545  3.18182  -2  
0.454545  3.18182  2  
0.454545  4.09091  -2  
0.454545  4.09091  2  
0.454545  5  -2  
0.454545  5  2  
1.36364  -5  -2  
1.36364  -5  2  
1.36364  -4.09091  -2  
1.36364  -4.09091  2  
1.36364  -3.18182  -2  
1.36364  -3.18182  2  
1.36364  -2.27273  -2  
1.36364  -2.27273  2  
1.36364  -1.36364  -2  
1.36364  -1.36364  2  
1.36364  -0.454545  -2  
1.36364  -0.454545  2  
1.36364  0.454545  -2  
1.36364  0.454545  2  
1.36364  1.36364  -2  
1.36364  1.36364  2  
1.36364  2.27273  -2  
1.36364  2.27273  2  
1.36364  3.18182  -2  
1.36364  3.18182  2  
1.36364  4.09091  -2  
1.36364  4.09091  2  
1.36364  5  -2  
1.36364  5  2  
2.27273  -5  -2  
2.27273  -5  2  
2.27273  -4.09091  -2  
2.27273  -4.09091  2  
2.27273  -3.18182  -2  
2.27273  -3.18182  2  
2.27273  -2.27273  -2  
2.27273  -2.27273  2  
2.27273  -1.36364  -2  
2.27273  -1.36364  2  
2.27273  -0.454545  -2  
2.27273  -0.454545  2  
2.27273  0.454545  -2  
2.27273  0.454545  2  
2.27273  1.36364  -2  
2.27273  1.36364  2  
2.27273  2.27273  -2  
2.27273  2.27273  2  
2.27273  3.18182  -2  
2.27273  3.18182  2  
2.27273  4.09091  -2  
2.27273  4.09091  2  
2.27273  5  -2  
2.27273  5  2  
3.18182  -5  -2  
3.18182  -5  2  
3.18182  -4.09091  -2  
3.18182  -4.09091  2  
3.18182  -3.18182  -2  
3.18182  -3.18182  2  
3.18182  -2.27273  -2  
3.18182  -2.27273  2  
3.18182  -1.36364  -2  
3.18182  -1.36364  2  
3.18182  -0.454545  -2  
3.18182  -0.454545  2  
3.18182  0.454545  -2  
3.18182  0.454545  2  
3.18182  1.36364  -2  
3.18182  1.36364  2  
3.18182  2.27273  -2  
3.18182  2.27273  2  
3.18182  3.18182  -2  
3.18182  3.18182  2  
3.18182  4.09091  -2  
3.18182  4.09091  2  
3.18182  5  -2  
3.18182  5  2  
4.09091  -5  -2  
4.09091  -5  2  
4.09091  -4.09091  -2  
4.09091  -4.09091  2  
4.09091  -3.18182  -2  
4.09091  -3.18182  2  
4.09091  -2.27273  -2  
4.09091  -2.27273  2  
4.09091  -1.36364  -2  
4.09091  -1.36364  2  
4.09091  -0.454545  -2  
4.09091  -0.454545  2  
4.09091  0.454545  -2  
4.09091  0.454545  2  
4.09091  1.36364  -2  
4.09091  1.36364  2  
4.09091  2.27273  -2  
4.09091  2.27273  2  
4.09091  3.18182  -2  
4.09091  3.18182  2  
4.09091  4.09091  -2  
4.09091  4.09091  2  
4.09091  5  -2  
4.09091  5  2  
5  -5  -2  
5  -5  2  
5  -4.09091  -2  
5  -4.09091  2  
5  -3.18182  -2  
5  -3.18182  2  
5  -2.27273  -2  
5  -2.27273  2  
5  -1.36364  -2  
5  -1.36364  2  
5  -0.454545  -2  
5  -0.454545  2  
5  0.454545  -2  
5  0.454545  2  
5  1.36364  -2  
5  1.36364  2  
5  2.27273  -2  
5  2.27273  2  
5  3.18182  -2  
5  3.18182  2  
5  4.09091  -2  
5  4.09091  2  
5  5  -2  
5  5  2  
